state,quarter,quarter_start,transmission_category,hiv_notifications
SA,2022Q4,2022-10-01,Other,0
OTHER,2013Q1,2013-01-01,MSM,7
OTHER,2013Q2,2013-04-01,MSM,6
OTHER,2013Q3,2013-07-01,MSM,9
OTHER,2013Q4,2013-10-01,MSM,14
OTHER,2014Q1,2014-01-01,MSM,9
OTHER,2014Q2,2014-04-01,MSM,8
OTHER,2014Q3,2014-07-01,MSM,11
OTHER,2014Q4,2014-10-01,MSM,8
OTHER,2015Q1,2015-01-01,MSM,5
OTHER,2015Q2,2015-04-01,MSM,9
OTHER,2015Q3,2015-07-01,MSM,6
OTHER,2015Q4,2015-10-01,MSM,7
OTHER,2016Q1,2016-01-01,MSM,2
OTHER,2016Q2,2016-04-01,MSM,8
OTHER,2016Q3,2016-07-01,MSM,8
OTHER,2016Q4,2016-10-01,MSM,8
OTHER,2017Q1,2017-01-01,MSM,4
OTHER,2017Q2,2017-04-01,MSM,0
OTHER,2017Q3,2017-07-01,MSM,7
OTHER,2017Q4,2017-10-01,MSM,3
OTHER,2018Q1,2018-01-01,MSM,6
OTHER,2018Q2,2018-04-01,MSM,6
OTHER,2018Q3,2018-07-01,MSM,4
OTHER,2018Q4,2018-10-01,MSM,6
OTHER,2019Q1,2019-01-01,MSM,5
OTHER,2019Q2,2019-04-01,MSM,4
OTHER,2019Q3,2019-07-01,MSM,4
OTHER,2019Q4,2019-10-01,MSM,4
OTHER,2020Q1,2020-01-01,MSM,3
OTHER,2020Q2,2020-04-01,MSM,5
OTHER,2020Q3,2020-07-01,MSM,3
OTHER,2020Q4,2020-10-01,MSM,2
OTHER,2021Q1,2021-01-01,MSM,8
OTHER,2021Q2,2021-04-01,MSM,3
OTHER,2021Q3,2021-07-01,MSM,6
OTHER,2021Q4,2021-10-01,MSM,2
OTHER,2022Q1,2022-01-01,MSM,4
OTHER,2022Q2,2022-04-01,MSM,2
OTHER,2022Q3,2022-07-01,MSM,3
OTHER,2022Q4,2022-10-01,MSM,4
OTHER,2013Q1,2013-01-01,Heterosexual,3
OTHER,2013Q2,2013-04-01,Heterosexual,3
OTHER,2013Q3,2013-07-01,Heterosexual,3
OTHER,2013Q4,2013-10-01,Heterosexual,1
OTHER,2014Q1,2014-01-01,Heterosexual,1
OTHER,2014Q2,2014-04-01,Heterosexual,0
OTHER,2014Q3,2014-07-01,Heterosexual,5
OTHER,2014Q4,2014-10-01,Heterosexual,2
OTHER,2015Q1,2015-01-01,Heterosexual,3
OTHER,2015Q2,2015-04-01,Heterosexual,3
OTHER,2015Q3,2015-07-01,Heterosexual,1
OTHER,2015Q4,2015-10-01,Heterosexual,2
OTHER,2016Q1,2016-01-01,Heterosexual,1
OTHER,2016Q2,2016-04-01,Heterosexual,1
OTHER,2016Q3,2016-07-01,Heterosexual,3
OTHER,2016Q4,2016-10-01,Heterosexual,2
OTHER,2017Q1,2017-01-01,Heterosexual,0
OTHER,2017Q2,2017-04-01,Heterosexual,2
OTHER,2017Q3,2017-07-01,Heterosexual,2
OTHER,2017Q4,2017-10-01,Heterosexual,2
OTHER,2018Q1,2018-01-01,Heterosexual,1
OTHER,2018Q2,2018-04-01,Heterosexual,3
OTHER,2018Q3,2018-07-01,Heterosexual,1
OTHER,2018Q4,2018-10-01,Heterosexual,2
OTHER,2019Q1,2019-01-01,Heterosexual,6
OTHER,2019Q2,2019-04-01,Heterosexual,2
OTHER,2019Q3,2019-07-01,Heterosexual,5
OTHER,2019Q4,2019-10-01,Heterosexual,1
OTHER,2020Q1,2020-01-01,Heterosexual,2
OTHER,2020Q2,2020-04-01,Heterosexual,3
OTHER,2020Q3,2020-07-01,Heterosexual,1
OTHER,2020Q4,2020-10-01,Heterosexual,2
OTHER,2021Q1,2021-01-01,Heterosexual,5
OTHER,2021Q2,2021-04-01,Heterosexual,4
OTHER,2021Q3,2021-07-01,Heterosexual,3
OTHER,2021Q4,2021-10-01,Heterosexual,1
OTHER,2022Q1,2022-01-01,Heterosexual,1
OTHER,2022Q2,2022-04-01,Heterosexual,2
OTHER,2022Q3,2022-07-01,Heterosexual,5
OTHER,2022Q4,2022-10-01,Heterosexual,3
OTHER,2013Q1,2013-01-01,Other,2
OTHER,2013Q2,2013-04-01,Other,3
OTHER,2013Q3,2013-07-01,Other,0
OTHER,2013Q4,2013-10-01,Other,0
OTHER,2014Q1,2014-01-01,Other,2
OTHER,2014Q2,2014-04-01,Other,0
OTHER,2014Q3,2014-07-01,Other,2
OTHER,2014Q4,2014-10-01,Other,0
OTHER,2015Q1,2015-01-01,Other,0
OTHER,2015Q2,2015-04-01,Other,0
OTHER,2015Q3,2015-07-01,Other,1
OTHER,2015Q4,2015-10-01,Other,1
OTHER,2016Q1,2016-01-01,Other,0
OTHER,2016Q2,2016-04-01,Other,2
OTHER,2016Q3,2016-07-01,Other,1
OTHER,2016Q4,2016-10-01,Other,0
OTHER,2017Q1,2017-01-01,Other,2
OTHER,2017Q2,2017-04-01,Other,0
OTHER,2017Q3,2017-07-01,Other,1
OTHER,2017Q4,2017-10-01,Other,2
OTHER,2018Q1,2018-01-01,Other,1
OTHER,2018Q2,2018-04-01,Other,0
OTHER,2018Q3,2018-07-01,Other,2
OTHER,2018Q4,2018-10-01,Other,0
OTHER,2019Q1,2019-01-01,Other,0
OTHER,2019Q2,2019-04-01,Other,0
OTHER,2019Q3,2019-07-01,Other,1
OTHER,2019Q4,2019-10-01,Other,1
OTHER,2020Q1,2020-01-01,Other,0
OTHER,2020Q2,2020-04-01,Other,2
OTHER,2020Q3,2020-07-01,Other,0
OTHER,2020Q4,2020-10-01,Other,2
OTHER,2021Q1,2021-01-01,Other,0
OTHER,2021Q2,2021-04-01,Other,1
OTHER,2021Q3,2021-07-01,Other,1
OTHER,2021Q4,2021-10-01,Other,1
OTHER,2022Q1,2022-01-01,Other,0
OTHER,2022Q2,2022-04-01,Other,3
OTHER,2022Q3,2022-07-01,Other,0
OTHER,2022Q4,2022-10-01,Other,0
