state,exposure_category,year,quarter,period,date,hiv_notifications
SA,Heterosexual,2015,3,2015Q3,2015-07-01,5
SA,Heterosexual,2015,4,2015Q4,2015-10-01,3
SA,Heterosexual,2016,1,2016Q1,2016-01-01,4
SA,Heterosexual,2016,2,2016Q2,2016-04-01,2
SA,Heterosexual,2016,3,2016Q3,2016-07-01,4
SA,Heterosexual,2016,4,2016Q4,2016-10-01,1
SA,Heterosexual,2017,1,2017Q1,2017-01-01,3
SA,Heterosexual,2017,2,2017Q2,2017-04-01,8
SA,Heterosexual,2017,3,2017Q3,2017-07-01,1
SA,Heterosexual,2017,4,2017Q4,2017-10-01,8
SA,Heterosexual,2018,1,2018Q1,2018-01-01,4
SA,Heterosexual,2018,2,2018Q2,2018-04-01,1
SA,Heterosexual,2018,3,2018Q3,2018-07-01,2
SA,Heterosexual,2018,4,2018Q4,2018-10-01,5
SA,Heterosexual,2019,1,2019Q1,2019-01-01,5
SA,Heterosexual,2019,2,2019Q2,2019-04-01,6
SA,Heterosexual,2019,3,2019Q3,2019-07-01,2
SA,Heterosexual,2019,4,2019Q4,2019-10-01,3
SA,Heterosexual,2020,1,2020Q1,2020-01-01,2
SA,Heterosexual,2020,2,2020Q2,2020-04-01,1
SA,Heterosexual,2020,3,2020Q3,2020-07-01,5
SA,Heterosexual,2020,4,2020Q4,2020-10-01,4
SA,Heterosexual,2021,1,2021Q1,2021-01-01,4
SA,Heterosexual,2021,2,2021Q2,2021-04-01,6
SA,Heterosexual,2021,3,2021Q3,2021-07-01,1
SA,Heterosexual,2021,4,2021Q4,2021-10-01,4
SA,Heterosexual,2022,1,2022Q1,2022-01-01,2
SA,Heterosexual,2022,2,2022Q2,2022-04-01,5
SA,Heterosexual,2022,3,2022Q3,2022-07-01,6
SA,Heterosexual,2022,4,2022Q4,2022-10-01,2
SA,MSM,2013,1,2013Q1,2013-01-01,11
SA,MSM,2013,2,2013Q2,2013-04-01,14
SA,MSM,2013,3,2013Q3,2013-07-01,11
SA,MSM,2013,4,2013Q4,2013-10-01,9
SA,MSM,2014,1,2014Q1,2014-01-01,9
SA,MSM,2014,2,2014Q2,2014-04-01,10
SA,MSM,2014,3,2014Q3,2014-07-01,7
SA,MSM,2014,4,2014Q4,2014-10-01,6
SA,MSM,2015,1,2015Q1,2015-01-01,13
SA,MSM,2015,2,2015Q2,2015-04-01,15
SA,MSM,2015,3,2015Q3,2015-07-01,11
SA,MSM,2015,4,2015Q4,2015-10-01,11
SA,MSM,2016,1,2016Q1,2016-01-01,11
SA,MSM,2016,2,2016Q2,2016-04-01,9
SA,MSM,2016,3,2016Q3,2016-07-01,7
SA,MSM,2016,4,2016Q4,2016-10-01,10
SA,MSM,2017,1,2017Q1,2017-01-01,3
SA,MSM,2017,2,2017Q2,2017-04-01,14
SA,MSM,2017,3,2017Q3,2017-07-01,12
SA,MSM,2017,4,2017Q4,2017-10-01,7
SA,MSM,2018,1,2018Q1,2018-01-01,13
SA,MSM,2018,2,2018Q2,2018-04-01,10
SA,MSM,2018,3,2018Q3,2018-07-01,7
SA,MSM,2018,4,2018Q4,2018-10-01,8
SA,MSM,2019,1,2019Q1,2019-01-01,12
SA,MSM,2019,2,2019Q2,2019-04-01,9
SA,MSM,2019,3,2019Q3,2019-07-01,8
SA,MSM,2019,4,2019Q4,2019-10-01,8
SA,MSM,2020,1,2020Q1,2020-01-01,7
SA,MSM,2020,2,2020Q2,2020-04-01,7
SA,MSM,2020,3,2020Q3,2020-07-01,2
SA,MSM,2020,4,2020Q4,2020-10-01,8
SA,MSM,2021,1,2021Q1,2021-01-01,9
SA,MSM,2021,2,2021Q2,2021-04-01,9
SA,MSM,2021,3,2021Q3,2021-07-01,12
SA,MSM,2021,4,2021Q4,2021-10-01,5
SA,MSM,2022,1,2022Q1,2022-01-01,7
SA,MSM,2022,2,2022Q2,2022-04-01,14
SA,MSM,2022,3,2022Q3,2022-07-01,5
SA,MSM,2022,4,2022Q4,2022-10-01,6
SA,Other,2013,1,2013Q1,2013-01-01,1
SA,Other,2013,2,2013Q2,2013-04-01,3
SA,Other,2013,3,2013Q3,2013-07-01,2
SA,Other,2013,4,2013Q4,2013-10-01,1
SA,Other,2014,1,2014Q1,2014-01-01,1
SA,Other,2014,2,2014Q2,2014-04-01,2
SA,Other,2014,3,2014Q3,2014-07-01,0
SA,Other,2014,4,2014Q4,2014-10-01,0
SA,Other,2015,1,2015Q1,2015-01-01,1
SA,Other,2015,2,2015Q2,2015-04-01,1
SA,Other,2015,3,2015Q3,2015-07-01,0
SA,Other,2015,4,2015Q4,2015-10-01,1
SA,Other,2016,1,2016Q1,2016-01-01,0
SA,Other,2016,2,2016Q2,2016-04-01,0
SA,Other,2016,3,2016Q3,2016-07-01,4
SA,Other,2016,4,2016Q4,2016-10-01,2
SA,Other,2017,1,2017Q1,2017-01-01,1
SA,Other,2017,2,2017Q2,2017-04-01,1
SA,Other,2017,3,2017Q3,2017-07-01,4
SA,Other,2017,4,2017Q4,2017-10-01,3
SA,Other,2018,1,2018Q1,2018-01-01,2
SA,Other,2018,2,2018Q2,2018-04-01,0
SA,Other,2018,3,2018Q3,2018-07-01,2
SA,Other,2018,4,2018Q4,2018-10-01,2
SA,Other,2019,1,2019Q1,2019-01-01,0
SA,Other,2019,2,2019Q2,2019-04-01,1
SA,Other,2019,3,2019Q3,2019-07-01,3
SA,Other,2019,4,2019Q4,2019-10-01,2
SA,Other,2020,1,2020Q1,2020-01-01,3
SA,Other,2020,2,2020Q2,2020-04-01,1
SA,Other,2020,3,2020Q3,2020-07-01,1
SA,Other,2020,4,2020Q4,2020-10-01,2
SA,Other,2021,1,2021Q1,2021-01-01,0
SA,Other,2021,2,2021Q2,2021-04-01,1
SA,Other,2021,3,2021Q3,2021-07-01,4
SA,Other,2021,4,2021Q4,2021-10-01,1
SA,Other,2022,1,2022Q1,2022-01-01,2
SA,Other,2022,2,2022Q2,2022-04-01,0
SA,Other,2022,3,2022Q3,2022-07-01,0
SA,Other,2022,4,2022Q4,2022-10-01,2
TAS,Heterosexual,2013,1,2013Q1,2013-01-01,0
TAS,Heterosexual,2013,2,2013Q2,2013-04-01,1
TAS,Heterosexual,2013,3,2013Q3,2013-07-01,0
TAS,Heterosexual,2013,4,2013Q4,2013-10-01,1
TAS,Heterosexual,2014,1,2014Q1,2014-01-01,3
TAS,Heterosexual,2014,2,2014Q2,2014-04-01,0
TAS,Heterosexual,2014,3,2014Q3,2014-07-01,1
TAS,Heterosexual,2014,4,2014Q4,2014-10-01,1
TAS,Heterosexual,2015,1,2015Q1,2015-01-01,0
TAS,Heterosexual,2015,2,2015Q2,2015-04-01,2
TAS,Heterosexual,2015,3,2015Q3,2015-07-01,1
TAS,Heterosexual,2015,4,2015Q4,2015-10-01,1
TAS,Heterosexual,2016,1,2016Q1,2016-01-01,0
TAS,Heterosexual,2016,2,2016Q2,2016-04-01,0
TAS,Heterosexual,2016,3,2016Q3,2016-07-01,0
TAS,Heterosexual,2016,4,2016Q4,2016-10-01,0
TAS,Heterosexual,2017,1,2017Q1,2017-01-01,1
TAS,Heterosexual,2017,2,2017Q2,2017-04-01,0
TAS,Heterosexual,2017,3,2017Q3,2017-07-01,1
TAS,Heterosexual,2017,4,2017Q4,2017-10-01,2
TAS,Heterosexual,2018,1,2018Q1,2018-01-01,1
TAS,Heterosexual,2018,2,2018Q2,2018-04-01,0
TAS,Heterosexual,2018,3,2018Q3,2018-07-01,3
TAS,Heterosexual,2018,4,2018Q4,2018-10-01,1
TAS,Heterosexual,2019,1,2019Q1,2019-01-01,0
TAS,Heterosexual,2019,2,2019Q2,2019-04-01,0
TAS,Heterosexual,2019,3,2019Q3,2019-07-01,1
TAS,Heterosexual,2019,4,2019Q4,2019-10-01,3
TAS,Heterosexual,2020,1,2020Q1,2020-01-01,1
TAS,Heterosexual,2020,2,2020Q2,2020-04-01,0
TAS,Heterosexual,2020,3,2020Q3,2020-07-01,1
TAS,Heterosexual,2020,4,2020Q4,2020-10-01,0
TAS,Heterosexual,2021,1,2021Q1,2021-01-01,0
TAS,Heterosexual,2021,2,2021Q2,2021-04-01,0
TAS,Heterosexual,2021,3,2021Q3,2021-07-01,0
TAS,Heterosexual,2021,4,2021Q4,2021-10-01,0
TAS,Heterosexual,2022,1,2022Q1,2022-01-01,1
TAS,Heterosexual,2022,2,2022Q2,2022-04-01,2
TAS,Heterosexual,2022,3,2022Q3,2022-07-01,2
TAS,Heterosexual,2022,4,2022Q4,2022-10-01,0
TAS,MSM,2013,1,2013Q1,2013-01-01,2
TAS,MSM,2013,2,2013Q2,2013-04-01,2
TAS,MSM,2013,3,2013Q3,2013-07-01,2
TAS,MSM,2013,4,2013Q4,2013-10-01,2
TAS,MSM,2014,1,2014Q1,2014-01-01,7
TAS,MSM,2014,2,2014Q2,2014-04-01,1
TAS,MSM,2014,3,2014Q3,2014-07-01,1
TAS,MSM,2014,4,2014Q4,2014-10-01,1
TAS,MSM,2015,1,2015Q1,2015-01-01,2
TAS,MSM,2015,2,2015Q2,2015-04-01,4
TAS,MSM,2015,3,2015Q3,2015-07-01,2
TAS,MSM,2015,4,2015Q4,2015-10-01,3
TAS,MSM,2016,1,2016Q1,2016-01-01,2
TAS,MSM,2016,2,2016Q2,2016-04-01,2
TAS,MSM,2016,3,2016Q3,2016-07-01,0
TAS,MSM,2016,4,2016Q4,2016-10-01,5
TAS,MSM,2017,1,2017Q1,2017-01-01,2
TAS,MSM,2017,2,2017Q2,2017-04-01,1
TAS,MSM,2017,3,2017Q3,2017-07-01,3
TAS,MSM,2017,4,2017Q4,2017-10-01,1
TAS,MSM,2018,1,2018Q1,2018-01-01,3
TAS,MSM,2018,2,2018Q2,2018-04-01,1
TAS,MSM,2018,3,2018Q3,2018-07-01,1
TAS,MSM,2018,4,2018Q4,2018-10-01,3
TAS,MSM,2019,1,2019Q1,2019-01-01,2
TAS,MSM,2019,2,2019Q2,2019-04-01,5
TAS,MSM,2019,3,2019Q3,2019-07-01,4
TAS,MSM,2019,4,2019Q4,2019-10-01,4
TAS,MSM,2020,1,2020Q1,2020-01-01,1
TAS,MSM,2020,2,2020Q2,2020-04-01,2
TAS,MSM,2020,3,2020Q3,2020-07-01,2
TAS,MSM,2020,4,2020Q4,2020-10-01,2
TAS,MSM,2021,1,2021Q1,2021-01-01,2
TAS,MSM,2021,2,2021Q2,2021-04-01,5
TAS,MSM,2021,3,2021Q3,2021-07-01,2
TAS,MSM,2021,4,2021Q4,2021-10-01,1
TAS,MSM,2022,1,2022Q1,2022-01-01,3
TAS,MSM,2022,2,2022Q2,2022-04-01,0
TAS,MSM,2022,3,2022Q3,2022-07-01,3
TAS,MSM,2022,4,2022Q4,2022-10-01,4
TAS,Other,2013,1,2013Q1,2013-01-01,0
TAS,Other,2013,2,2013Q2,2013-04-01,0
TAS,Other,2013,3,2013Q3,2013-07-01,0
TAS,Other,2013,4,2013Q4,2013-10-01,2
TAS,Other,2014,1,2014Q1,2014-01-01,2
TAS,Other,2014,2,2014Q2,2014-04-01,1
TAS,Other,2014,3,2014Q3,2014-07-01,0
TAS,Other,2014,4,2014Q4,2014-10-01,0
TAS,Other,2015,1,2015Q1,2015-01-01,1
TAS,Other,2015,2,2015Q2,2015-04-01,0
TAS,Other,2015,3,2015Q3,2015-07-01,0
TAS,Other,2015,4,2015Q4,2015-10-01,0
TAS,Other,2016,1,2016Q1,2016-01-01,0
TAS,Other,2016,2,2016Q2,2016-04-01,2
TAS,Other,2016,3,2016Q3,2016-07-01,0
TAS,Other,2016,4,2016Q4,2016-10-01,0
TAS,Other,2017,1,2017Q1,2017-01-01,0
TAS,Other,2017,2,2017Q2,2017-04-01,0
TAS,Other,2017,3,2017Q3,2017-07-01,1
TAS,Other,2017,4,2017Q4,2017-10-01,0
TAS,Other,2018,1,2018Q1,2018-01-01,0
TAS,Other,2018,2,2018Q2,2018-04-01,0
TAS,Other,2018,3,2018Q3,2018-07-01,0
TAS,Other,2018,4,2018Q4,2018-10-01,3
TAS,Other,2019,1,2019Q1,2019-01-01,1
TAS,Other,2019,2,2019Q2,2019-04-01,0
TAS,Other,2019,3,2019Q3,2019-07-01,0
TAS,Other,2019,4,2019Q4,2019-10-01,0
TAS,Other,2020,1,2020Q1,2020-01-01,0
TAS,Other,2020,2,2020Q2,2020-04-01,0
TAS,Other,2020,3,2020Q3,2020-07-01,0
TAS,Other,2020,4,2020Q4,2020-10-01,1
TAS,Other,2021,1,2021Q1,2021-01-01,0
TAS,Other,2021,2,2021Q2,2021-04-01,0
TAS,Other,2021,3,2021Q3,2021-07-01,1
TAS,Other,2021,4,2021Q4,2021-10-01,0
TAS,Other,2022,1,2022Q1,2022-01-01,0
TAS,Other,2022,2,2022Q2,2022-04-01,0
TAS,Other,2022,3,2022Q3,2022-07-01,0
TAS,Other,2022,4,2022Q4,2022-10-01,2
VIC,Heterosexual,2013,1,2013Q1,2013-01-01,11
VIC,Heterosexual,2013,2,2013Q2,2013-04-01,12
VIC,Heterosexual,2013,3,2013Q3,2013-07-01,14
VIC,Heterosexual,2013,4,2013Q4,2013-10-01,14
VIC,Heterosexual,2014,1,2014Q1,2014-01-01,17
VIC,Heterosexual,2014,2,2014Q2,2014-04-01,12
VIC,Heterosexual,2014,3,2014Q3,2014-07-01,12
VIC,Heterosexual,2014,4,2014Q4,2014-10-01,15
VIC,Heterosexual,2015,1,2015Q1,2015-01-01,18
VIC,Heterosexual,2015,2,2015Q2,2015-04-01,20
VIC,Heterosexual,2015,3,2015Q3,2015-07-01,15
VIC,Heterosexual,2015,4,2015Q4,2015-10-01,9
VIC,Heterosexual,2016,1,2016Q1,2016-01-01,15
VIC,Heterosexual,2016,2,2016Q2,2016-04-01,20
VIC,Heterosexual,2016,3,2016Q3,2016-07-01,16
VIC,Heterosexual,2016,4,2016Q4,2016-10-01,15
VIC,Heterosexual,2017,1,2017Q1,2017-01-01,12
VIC,Heterosexual,2017,2,2017Q2,2017-04-01,15
VIC,Heterosexual,2017,3,2017Q3,2017-07-01,21
VIC,Heterosexual,2017,4,2017Q4,2017-10-01,16
VIC,Heterosexual,2018,1,2018Q1,2018-01-01,14
VIC,Heterosexual,2018,2,2018Q2,2018-04-01,13
VIC,Heterosexual,2018,3,2018Q3,2018-07-01,12
VIC,Heterosexual,2018,4,2018Q4,2018-10-01,11
VIC,Heterosexual,2019,1,2019Q1,2019-01-01,13
VIC,Heterosexual,2019,2,2019Q2,2019-04-01,15
VIC,Heterosexual,2019,3,2019Q3,2019-07-01,10
VIC,Heterosexual,2019,4,2019Q4,2019-10-01,18
VIC,Heterosexual,2020,1,2020Q1,2020-01-01,15
VIC,Heterosexual,2020,2,2020Q2,2020-04-01,10
VIC,Heterosexual,2020,3,2020Q3,2020-07-01,11
VIC,Heterosexual,2020,4,2020Q4,2020-10-01,19
VIC,Heterosexual,2021,1,2021Q1,2021-01-01,13
VIC,Heterosexual,2021,2,2021Q2,2021-04-01,21
VIC,Heterosexual,2021,3,2021Q3,2021-07-01,10
VIC,Heterosexual,2021,4,2021Q4,2021-10-01,12
VIC,Heterosexual,2022,1,2022Q1,2022-01-01,18
VIC,Heterosexual,2022,2,2022Q2,2022-04-01,12
VIC,Heterosexual,2022,3,2022Q3,2022-07-01,17
VIC,Heterosexual,2022,4,2022Q4,2022-10-01,13
VIC,MSM,2013,1,2013Q1,2013-01-01,49
VIC,MSM,2013,2,2013Q2,2013-04-01,45
VIC,MSM,2013,3,2013Q3,2013-07-01,60
VIC,MSM,2013,4,2013Q4,2013-10-01,40
VIC,MSM,2014,1,2014Q1,2014-01-01,44
VIC,MSM,2014,2,2014Q2,2014-04-01,39
VIC,MSM,2014,3,2014Q3,2014-07-01,43
VIC,MSM,2014,4,2014Q4,2014-10-01,41
VIC,MSM,2015,1,2015Q1,2015-01-01,51
VIC,MSM,2015,2,2015Q2,2015-04-01,41
VIC,MSM,2015,3,2015Q3,2015-07-01,39
VIC,MSM,2015,4,2015Q4,2015-10-01,45
VIC,MSM,2016,1,2016Q1,2016-01-01,45
VIC,MSM,2016,2,2016Q2,2016-04-01,40
VIC,MSM,2016,3,2016Q3,2016-07-01,33
VIC,MSM,2016,4,2016Q4,2016-10-01,41
VIC,MSM,2017,1,2017Q1,2017-01-01,35
VIC,MSM,2017,2,2017Q2,2017-04-01,47
VIC,MSM,2017,3,2017Q3,2017-07-01,37
VIC,MSM,2017,4,2017Q4,2017-10-01,37
VIC,MSM,2018,1,2018Q1,2018-01-01,46
VIC,MSM,2018,2,2018Q2,2018-04-01,40
VIC,MSM,2018,3,2018Q3,2018-07-01,41
VIC,MSM,2018,4,2018Q4,2018-10-01,47
VIC,MSM,2019,1,2019Q1,2019-01-01,54
VIC,MSM,2019,2,2019Q2,2019-04-01,49
VIC,MSM,2019,3,2019Q3,2019-07-01,34
VIC,MSM,2019,4,2019Q4,2019-10-01,30
VIC,MSM,2020,1,2020Q1,2020-01-01,35
VIC,MSM,2020,2,2020Q2,2020-04-01,38
VIC,MSM,2020,3,2020Q3,2020-07-01,46
VIC,MSM,2020,4,2020Q4,2020-10-01,40
VIC,MSM,2021,1,2021Q1,2021-01-01,35
VIC,MSM,2021,2,2021Q2,2021-04-01,43
VIC,MSM,2021,3,2021Q3,2021-07-01,33
VIC,MSM,2021,4,2021Q4,2021-10-01,28
VIC,MSM,2022,1,2022Q1,2022-01-01,21
VIC,MSM,2022,2,2022Q2,2022-04-01,39
VIC,MSM,2022,3,2022Q3,2022-07-01,39
VIC,MSM,2022,4,2022Q4,2022-10-01,28
VIC,Other,2013,1,2013Q1,2013-01-01,12
VIC,Other,2013,2,2013Q2,2013-04-01,8
VIC,Other,2013,3,2013Q3,2013-07-01,4
VIC,Other,2013,4,2013Q4,2013-10-01,5
VIC,Other,2014,1,2014Q1,2014-01-01,7
VIC,Other,2014,2,2014Q2,2014-04-01,7
VIC,Other,2014,3,2014Q3,2014-07-01,10
VIC,Other,2014,4,2014Q4,2014-10-01,7
VIC,Other,2015,1,2015Q1,2015-01-01,7
VIC,Other,2015,2,2015Q2,2015-04-01,3
VIC,Other,2015,3,2015Q3,2015-07-01,5
VIC,Other,2015,4,2015Q4,2015-10-01,6
VIC,Other,2016,1,2016Q1,2016-01-01,8
VIC,Other,2016,2,2016Q2,2016-04-01,3
VIC,Other,2016,3,2016Q3,2016-07-01,7
VIC,Other,2016,4,2016Q4,2016-10-01,9
VIC,Other,2017,1,2017Q1,2017-01-01,3
VIC,Other,2017,2,2017Q2,2017-04-01,8
VIC,Other,2017,3,2017Q3,2017-07-01,5
VIC,Other,2017,4,2017Q4,2017-10-01,8
VIC,Other,2018,1,2018Q1,2018-01-01,5
VIC,Other,2018,2,2018Q2,2018-04-01,3
VIC,Other,2018,3,2018Q3,2018-07-01,4
VIC,Other,2018,4,2018Q4,2018-10-01,6
VIC,Other,2019,1,2019Q1,2019-01-01,8
VIC,Other,2019,2,2019Q2,2019-04-01,8
VIC,Other,2019,3,2019Q3,2019-07-01,6
VIC,Other,2019,4,2019Q4,2019-10-01,6
VIC,Other,2020,1,2020Q1,2020-01-01,9
VIC,Other,2020,2,2020Q2,2020-04-01,3
VIC,Other,2020,3,2020Q3,2020-07-01,9
VIC,Other,2020,4,2020Q4,2020-10-01,5
VIC,Other,2021,1,2021Q1,2021-01-01,3
VIC,Other,2021,2,2021Q2,2021-04-01,4
VIC,Other,2021,3,2021Q3,2021-07-01,6
VIC,Other,2021,4,2021Q4,2021-10-01,10
VIC,Other,2022,1,2022Q1,2022-01-01,8
VIC,Other,2022,2,2022Q2,2022-04-01,5
VIC,Other,2022,3,2022Q3,2022-07-01,7
VIC,Other,2022,4,2022Q4,2022-10-01,4
WA,Heterosexual,2013,1,2013Q1,2013-01-01,4
WA,Heterosexual,2013,2,2013Q2,2013-04-01,7
WA,Heterosexual,2013,3,2013Q3,2013-07-01,5
WA,Heterosexual,2013,4,2013Q4,2013-10-01,6
WA,Heterosexual,2014,1,2014Q1,2014-01-01,4
WA,Heterosexual,2014,2,2014Q2,2014-04-01,8
WA,Heterosexual,2014,3,2014Q3,2014-07-01,6
WA,Heterosexual,2014,4,2014Q4,2014-10-01,5
WA,Heterosexual,2015,1,2015Q1,2015-01-01,7
WA,Heterosexual,2015,2,2015Q2,2015-04-01,4
WA,Heterosexual,2015,3,2015Q3,2015-07-01,9
WA,Heterosexual,2015,4,2015Q4,2015-10-01,5
WA,Heterosexual,2016,1,2016Q1,2016-01-01,3
WA,Heterosexual,2016,2,2016Q2,2016-04-01,2
WA,Heterosexual,2016,3,2016Q3,2016-07-01,4
WA,Heterosexual,2016,4,2016Q4,2016-10-01,2
WA,Heterosexual,2017,1,2017Q1,2017-01-01,11
WA,Heterosexual,2017,2,2017Q2,2017-04-01,7
WA,Heterosexual,2017,3,2017Q3,2017-07-01,6
WA,Heterosexual,2017,4,2017Q4,2017-10-01,2
WA,Heterosexual,2018,1,2018Q1,2018-01-01,5
WA,Heterosexual,2018,2,2018Q2,2018-04-01,6
WA,Heterosexual,2018,3,2018Q3,2018-07-01,5
WA,Heterosexual,2018,4,2018Q4,2018-10-01,8
WA,Heterosexual,2019,1,2019Q1,2019-01-01,5
WA,Heterosexual,2019,2,2019Q2,2019-04-01,4
WA,Heterosexual,2019,3,2019Q3,2019-07-01,5
WA,Heterosexual,2019,4,2019Q4,2019-10-01,4
WA,Heterosexual,2020,1,2020Q1,2020-01-01,6
WA,Heterosexual,2020,2,2020Q2,2020-04-01,6
WA,Heterosexual,2020,3,2020Q3,2020-07-01,4
WA,Heterosexual,2020,4,2020Q4,2020-10-01,7
WA,Heterosexual,2021,1,2021Q1,2021-01-01,4
WA,Heterosexual,2021,2,2021Q2,2021-04-01,4
WA,Heterosexual,2021,3,2021Q3,2021-07-01,8
WA,Heterosexual,2021,4,2021Q4,2021-10-01,6
WA,Heterosexual,2022,1,2022Q1,2022-01-01,2
WA,Heterosexual,2022,2,2022Q2,2022-04-01,9
WA,Heterosexual,2022,3,2022Q3,2022-07-01,5
WA,Heterosexual,2022,4,2022Q4,2022-10-01,3
WA,MSM,2013,1,2013Q1,2013-01-01,13
WA,MSM,2013,2,2013Q2,2013-04-01,18
WA,MSM,2013,3,2013Q3,2013-07-01,8
WA,MSM,2013,4,2013Q4,2013-10-01,17
WA,MSM,2014,1,2014Q1,2014-01-01,20
WA,MSM,2014,2,2014Q2,2014-04-01,17
WA,MSM,2014,3,2014Q3,2014-07-01,15
WA,MSM,2014,4,2014Q4,2014-10-01,22
WA,MSM,2015,1,2015Q1,2015-01-01,11
WA,MSM,2015,2,2015Q2,2015-04-01,17
WA,MSM,2015,3,2015Q3,2015-07-01,15
WA,MSM,2015,4,2015Q4,2015-10-01,15
WA,MSM,2016,1,2016Q1,2016-01-01,12
WA,MSM,2016,2,2016Q2,2016-04-01,13
WA,MSM,2016,3,2016Q3,2016-07-01,17
WA,MSM,2016,4,2016Q4,2016-10-01,18
WA,MSM,2017,1,2017Q1,2017-01-01,18
WA,MSM,2017,2,2017Q2,2017-04-01,15
WA,MSM,2017,3,2017Q3,2017-07-01,12
WA,MSM,2017,4,2017Q4,2017-10-01,11
WA,MSM,2018,1,2018Q1,2018-01-01,14
WA,MSM,2018,2,2018Q2,2018-04-01,23
WA,MSM,2018,3,2018Q3,2018-07-01,15
WA,MSM,2018,4,2018Q4,2018-10-01,18
WA,MSM,2019,1,2019Q1,2019-01-01,15
WA,MSM,2019,2,2019Q2,2019-04-01,14
WA,MSM,2019,3,2019Q3,2019-07-01,15
WA,MSM,2019,4,2019Q4,2019-10-01,12
WA,MSM,2020,1,2020Q1,2020-01-01,14
WA,MSM,2020,2,2020Q2,2020-04-01,8
WA,MSM,2020,3,2020Q3,2020-07-01,14
WA,MSM,2020,4,2020Q4,2020-10-01,16
WA,MSM,2021,1,2021Q1,2021-01-01,16
WA,MSM,2021,2,2021Q2,2021-04-01,8
WA,MSM,2021,3,2021Q3,2021-07-01,5
WA,MSM,2021,4,2021Q4,2021-10-01,11
WA,MSM,2022,1,2022Q1,2022-01-01,6
WA,MSM,2022,2,2022Q2,2022-04-01,6
WA,MSM,2022,3,2022Q3,2022-07-01,5
WA,MSM,2022,4,2022Q4,2022-10-01,8
WA,Other,2013,1,2013Q1,2013-01-01,3
WA,Other,2013,2,2013Q2,2013-04-01,4
WA,Other,2013,3,2013Q3,2013-07-01,0
WA,Other,2013,4,2013Q4,2013-10-01,1
WA,Other,2014,1,2014Q1,2014-01-01,0
WA,Other,2014,2,2014Q2,2014-04-01,5
WA,Other,2014,3,2014Q3,2014-07-01,2
WA,Other,2014,4,2014Q4,2014-10-01,3
WA,Other,2015,1,2015Q1,2015-01-01,1
WA,Other,2015,2,2015Q2,2015-04-01,2
WA,Other,2015,3,2015Q3,2015-07-01,3
WA,Other,2015,4,2015Q4,2015-10-01,0
WA,Other,2016,1,2016Q1,2016-01-01,1
WA,Other,2016,2,2016Q2,2016-04-01,2
WA,Other,2016,3,2016Q3,2016-07-01,2
WA,Other,2016,4,2016Q4,2016-10-01,3
WA,Other,2017,1,2017Q1,2017-01-01,4
WA,Other,2017,2,2017Q2,2017-04-01,0
WA,Other,2017,3,2017Q3,2017-07-01,1
WA,Other,2017,4,2017Q4,2017-10-01,3
WA,Other,2018,1,2018Q1,2018-01-01,2
WA,Other,2018,2,2018Q2,2018-04-01,0
WA,Other,2018,3,2018Q3,2018-07-01,0
WA,Other,2018,4,2018Q4,2018-10-01,3
WA,Other,2019,1,2019Q1,2019-01-01,4
WA,Other,2019,2,2019Q2,2019-04-01,1
WA,Other,2019,3,2019Q3,2019-07-01,4
WA,Other,2019,4,2019Q4,2019-10-01,2
WA,Other,2020,1,2020Q1,2020-01-01,2
WA,Other,2020,2,2020Q2,2020-04-01,1
WA,Other,2020,3,2020Q3,2020-07-01,2
WA,Other,2020,4,2020Q4,2020-10-01,1
WA,Other,2021,1,2021Q1,2021-01-01,2
WA,Other,2021,2,2021Q2,2021-04-01,0
WA,Other,2021,3,2021Q3,2021-07-01,0
WA,Other,2021,4,2021Q4,2021-10-01,2
WA,Other,2022,1,2022Q1,2022-01-01,1
WA,Other,2022,2,2022Q2,2022-04-01,3
WA,Other,2022,3,2022Q3,2022-07-01,3
WA,Other,2022,4,2022Q4,2022-10-01,1
